id_piste;mountain;piste;status;color;dificult
1;Courchevel valley;Altiport;Opened;#00A0FF;blue
2;Courchevel valley;Altipôle;Opened;#D71B0D;red
3;Courchevel valley;Amoureux;Opened;#D71B0D;red
4;Courchevel valley;Américain;Opened;#D71B0D;red
5;Courchevel valley;Anémones;Opened;#00A0FF;blue
6;Courchevel valley;Ariondaz;Opened;#00A0FF;blue
7;Courchevel valley;Arolles;Opened;#00A0FF;blue
8;Courchevel valley;Bel Air;Opened;#D71B0D;red
9;Courchevel valley;Bellecôte;Opened;#32A071;green
10;Courchevel valley;Bellecôte-Pralong;Opened;#32A071;green
11;Courchevel valley;Belvédère;Opened;#32A071;green
12;Courchevel valley;Belvédère-Granges;Opened;#32A071;green
13;Courchevel valley;Biollay;Opened;#00A0FF;blue
14;Courchevel valley;Biollay-Verdons;Opened;#00A0FF;blue
15;Courchevel valley;Bosses;Opened;#000;black
16;Courchevel valley;Bouc Blanc;Opened;#D71B0D;red
17;Courchevel valley;Brigues;Opened;#D71B0D;red
18;Courchevel valley;Cave des Creux;Opened;#D71B0D;red
19;Courchevel valley;Chabichou;Opened;#00A0FF;blue
20;Courchevel valley;Chanrossa;Opened;#000;black
21;Courchevel valley;Chapelets;Opened;#D71B0D;red
22;Courchevel valley;Chenus;Opened;#D71B0D;red
23;Courchevel valley;Col de la Loze;Opened;#00A0FF;blue
24;Courchevel valley;Combe de la Saulire;Opened;#D71B0D;red
25;Courchevel valley;Combe des Pylônes;Opened;#000;black
26;Courchevel valley;Coqs;Opened;#D71B0D;red
27;Courchevel valley;Cospillot;Opened;#00A0FF;blue
28;Courchevel valley;Creux;Opened;#00A0FF;blue
29;Courchevel valley;Cèpes;Opened;#00A0FF;blue
30;Courchevel valley;Dou des Lanches;Opened;#000;black
31;Courchevel valley;Dou du Midi;Opened;#D71B0D;red
32;Courchevel valley;Déviation 1550;Opened;#D71B0D;red
33;Courchevel valley;Easy Way;Opened;#00A0FF;blue
34;Courchevel valley;Eclipse;Closed;#000;black
35;Courchevel valley;Folyères;Opened;#00A0FF;blue
36;Courchevel valley;Freeride Lab;Forecast;#D71B0D;red
37;Courchevel valley;Gentianes;Opened;#00A0FF;blue
38;Courchevel valley;Grand Couloir;Opened;#000;black
39;Courchevel valley;Grandes Bosses;Opened;#D71B0D;red
40;Courchevel valley;Grandes Combes;Opened;#00A0FF;blue
41;Courchevel valley;Granges;Opened;#00A0FF;blue
42;Courchevel valley;Gravelles;Opened;#00A0FF;blue
43;Courchevel valley;Head Slalom Park;Closed;#D71B0D;red
44;Courchevel valley;Indiens;Opened;#00A0FF;blue
45;Courchevel valley;Jantzen;Opened;#D71B0D;red
46;Courchevel valley;Jardin Alpin;Opened;#32A071;green
47;Courchevel valley;Jardin d'enfants Tania;Opened;#32A071;green
48;Courchevel valley;Jean Blanc;Opened;#000;black
49;Courchevel valley;Jean Pachod;Opened;#D71B0D;red
50;Courchevel valley;Kodiak Area;Opened;#32A071;green
51;Courchevel valley;Lac Ariondaz;Opened;#00A0FF;blue
52;Courchevel valley;Lac Bleu;Opened;#00A0FF;blue
53;Courchevel valley;Lac des Creux;Opened;#00A0FF;blue
54;Courchevel valley;Lanches;Opened;#D71B0D;red
